Serial Number,Name,UUID,Hash
TEAM BEVEL,,,
1,adewale-the-amebo,cad316c3-37f8-4b27-9f53-9d803bfcfee7,b45efdebd260240b7f203e50228dcce5f9ab00c1806f087602370bbe6dc50743
2,alli-the-queeny,a57ecda4-a26f-4e97-a757-e1800af39aab,4ac22a6fc696ed0211ee033f344d3904178344cf3852b6cc1dfda54856ff6b4a
3,aminat-the-snnobish,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,a9c2220b5bfa97a7c8bd6636935a48f1c948445dbf04014c0c34cc186c98ac8a
4,aminu-the-carpenter,4f30b751-96e7-40fe-97fd-e3d44973ff2f,1ef56f49fbed551f55cf077072ce16eabba4f00e6f389f714f0d65804e9e0c01
5,chibuike-the-kudibag,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,a0c8e7eb5d817b378a51b3012b83d4da1c2f322eec771ddf124f69faf0b2ce80
6,chidinma-the-model,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,79bee68dd62388cd1fead9fe303c447c52e8a47ea03c14b8209566d2dea5c820
7,chioma-pretty- girl,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,8fe44cd7aa9e1b4d3e359a2e116412696870a38c5bc670cf8dfe7530db7421cd
8,damilare-the-handsome,27eca2dc-d7df-474a-8f8f-1858152c711e,24451cad2f2cc1b46ba21c767f6cd1ef8bedb9ad770c028aee3a8e11332dc683
9,ebiowie-the-planter,f1df8270-4d60-4bd4-8959-ba7c384db5c4,91f40eea40cd615b95434b6e5a3e2f790cf4e3665fe0d04c3faf5a7b06fb9aa5
10,emeka-the-businessman,9b3d75da-4887-4089-aee4-50de3954fdc9,f7046dccc21cd42d02376f9276b3aaa67f0e14d87c7f834afc63012801002859
11,gbeminyi-the-monk,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,e76fd9665d6f28fd1c2d9093d9f9aff215f268ed8420038c502687d99d0aae7c
12,henry-the-sportsman,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,86fddae1a560c7c766dfc50f54a4a1d325dd89b061d1eb40e10711acc6ab1d89
13,mayowa-the-smallie,dfbb4163-df24-4d54-b74c-6218a68df8bd,e5f015af070968ff8bad5fe2ff58964c64301e7bb39171ab25597677a113d6df
14,muyiwa-the-stylish,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,2b02bfb03f978b4cce91def46e2e42267fe076076b6a59459f72393a4124d435
15,nina-paper-chaser,59524227-dc52-407c-8cca-e9e8c5fb3018,7980b0431c002ad932a6d88539e540e813cb0db236a61e579b1650cb7938ddde
16,oluwaseun-spicy,808f7007-6552-4efa-bd13-4b7c337b102b,b9807aa3c4c5af052b94aa463b1351cbdeec8068319a6447c078652ed931b41d
17,sesan-the-smartie,ba3edda7-8940-4ca4-97ba-826398d5909f,2d56ba567a517b2d073515ede0de02e7720499f9cd5fc9f170adabf8dad176bc
18,tiwa-london,78da7aeb-8352-4e25-89ac-dc48b5984089,7a0224e3c0a634cee3e07f842f1bdbaf6989e95ce86753045859a38d2ec2aba5
19,tunde-yoruba-demon,53b46bd7-a537-402b-b249-0b4074a8faae,58c10d4beffe545fc8ad062ac4189a59e51c82d5e0c30df4e5ea35b88f399592
20,yakubu-the-zombie,4adb6781-1614-424e-8f77-fe59ffca2209,d11bf017ffecf87ae03acec8288e8610f1e5175cbcad3825ce80510e186eb3bf
TEAM CLUTCH,,,
21,abdul-the-vibe,770f817a-9d9a-4772-9a91-e66dd9d03470,2b6eeaa05548a82eb940908ec6368e9665534bc1264450b0c3e2cfab20bbdf9e
22,emeka-the -clown,78810fa6-a7ef-4d83-bf57-caf49db4ee69,584f6c5bbbb245d07bdca35d845c6a4698d6b428e06227f074a2c0fbe49f835c
23,salam-the-odogwu,f2957ded-022c-4b07-92c6-b345d4816a67,596f8fd3ac2a786104b92f79056e6ed3b405ac401b356d49cfa531c65b9959e9
24,24,09395e76-19ed-4852-8748-795ee7496a8e,1918f0e8da283935fa972db143b02d1b747a0169f52551a09ec461ddbb38b4d1
25,wole-the-pimp,4d94d4f7-9b69-4e43-9db1-1fe83df92857,863117b80c8e473242dcbcc43538688dce5a8650514d653dd42fdc9aae99319f
26,saro-the-baller,d35a7514-8996-42fb-a5f2-5a603ec679c5,7224e37d8560b1faa666f263a3981018d19a0a71d745a050522a33acc4fe42d2
27,ade-omo-yoruba,92984fa0-310b-4377-8a10-15965d044383,0432d11ee76ba426c4b5fd6e3da75986b758f185b213cb46e719e9b820aca47e
28,shola-cool-kid,3ac5c186-bc14-4eb6-8567-cc818465a64f,06c58f2c3081c4a43f84780b69af4eb98aa67fce18c9e683af3a83f58c254640
29,charlie-the-smoker,71a0aa22-d111-43b7-8484-43d87310bc42,fb221fc621161d100cc37d64b794499e39a29e6dc6361db924b72eb735ad4ead
30,femi-the-badguy,e493e3fb-a8a0-455a-854f-0f6474bbc69f,4b646a268338894f7e43b9ede6c84c7420252b05f944caeaba8b4cc106ed5a17
31,sinzu-money,942f8347-9932-4331-bd15-d0f3a048b54f,d098dddf974f4a5f282976436f875c01bffb1e1a22e8fbe68864d47e1bdaa7d1
32,obinna-the-palmwine tapper,0f1af056-2548-4407-bed4-abc11deae05d,7a00ea04a7b519e9e2f5226b35d449d18a4b14065b919ce3c260cab8bb0f8092
33,aminu-maikudi,0129e7a5-e3d0-4675-92d0-1a1e55d11612,3e72fb03bf1541981536636380075497e36e6ef9ffa303a012abbce41335178f
34,sabinus-the-town crier,01d4ce96-818e-44b1-8813-68a7d34b35ba,edd4da619cfe926fec42abe8bef100b3bc028e9c4d394b60d83a3b3e9688245c
35,adisa-ibadan,3a925f27-35f6-4dbf-9960-c6527fae5f3e,431233e2da80e32b27a70789b49ef502e8a99a4a81d8cb9f8f456e0a47e7a135
36,linda-the-navigator,71f335a6-5a4f-4410-9cea-179336f0e498,63ac5a6a60252d8f95e824ebdb113b476c7a6a14326584caf5f38619bb37ea71
37,kemi-the-iron lady,35b11a31-5b92-49f4-8fb1-30f255d22054,ec3bc6e9a05432ebb9193f37c5928c6bfcb83819c04e19eb128db946d87d034f
38,mercy-the-sassy lady,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,062593443dca0d7ca880fabb5052e3154c5afc302b18b4e0be39d48633bf6ad8
39,sandra-money,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,ead49d60a56ce5e9251c7a1d5ff5a834201baf80c8b0e55d2eafa94e67546bd2
40,bimpe-the-fashionista,92b548b7-998b-46b6-8198-80d407209483,f7af86c854e5e3933fefb7865c9c1890c84c1d85c8a53aa4bee7b221d60683a9
TEAM ENGINE,,,
41,kim-rich-aunty,3344a73c-f15e-4afd-a1b2-3199e27eb08f,5e538fcd5c8eb91b47d24306e2746ff22216d50dde8cdd550d4487a61f5e1cd3
42,barbra-vampire-bc,4f31fd99-4918-42a9-a112-fa60ef36d5c6,dbcf822d28f82ab2d561c9c4c075f51d11ffabe02d63e0083ac12ea1c6e66b8f
